,OTL,COM,ODT,meta,parts,chords
662,Someone To Watch Over Me,"Gershwin, George",1926,"['OTL: Someone To Watch Over Me', 'COM: Gershwin, George', 'ODT: 1926']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'E-7'], ['A-:maj7', 'A-o7'], ['E-:maj7/G', 'G-o7'], ['B-7/F', 'Eo7'], ['F:min7', 'Go(G:min7)', 'A-6(C7)'], ['Ah7(F:min7)', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['G7#5', 'C9'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6'], ['E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7'], ['A-:maj7'], ['A-:min6'], ['E-6/G'], ['Ah7', 'D7b9'], ['G7b9'], ['C7'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'E-7'], ['A-:maj7', 'A-o7'], ['E-:maj7/G', 'G-o7'], ['B-7/F', 'Eo7'], ['F:min7', 'Go(G:min7)', 'A-6(C7)'], ['Ah7(F:min7)', 'B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
663,Crisis,"Hubbard, Freddie",1961,"['OTL: Crisis', 'COM: Hubbard, Freddie', 'ODT: 1961']","['Intro', 'Intro', 'A', 'N1', 'A', 'N2', 'B', 'A2', 'ToCod', 'Coda', 'Intro', 'Intro', 'A', 'N1', 'A', 'N2', 'B', 'A2', 'Coda']","[{'meta': ['*>Intro\n', '*M4/4\n', '*C:\n'], 'bars': [['B7'], ['B7'], ['B7'], ['B7']]}, {'meta': ['*>A\n'], 'bars': [['B7'], ['B7'], ['D-7'], ['D-7'], ['C7'], ['C7'], ['B7'], ['B7'], ['B-7'], ['B-7'], ['A7'], ['F#7#9'], ['B:min'], ['F#7#9'], ['B:min']]}, {'meta': ['*>N1\n'], 'bars': [['F#7#9']]}, {'meta': ['*>N2\n'], 'bars': []}, {'meta': ['*>B\n'], 'bars': [['B:min'], ['G7'], ['C#h', 'F#7#9'], ['B:min'], ['A-:min'], ['D-7'], ['E-:min', 'D7'], ['C#:min', 'F#7#9']]}, {'meta': ['*>A2\n'], 'bars': [['B7'], ['B7'], ['D-7'], ['D-7'], ['C7'], ['C7'], ['B7'], ['B7'], ['B-7'], ['B-7'], ['A7'], ['F#7#9'], ['B:min'], ['F#7#9'], ['B:min']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['! Repeat and Fade', 'B:min'], ['F#7#9']]}]"
664,All Blues,"Davis, Miles",1959,"['OTL: All Blues', 'COM: Davis, Miles', 'ODT: 1959']",['/'],[]
665,Oh What A Beautiful Mornin',"Rodgers, Richard",1943,"[""OTL: Oh What A Beautiful Mornin'"", 'COM: Rodgers, Richard', 'ODT: 1943']","['A', 'B', 'N1', 'A', 'B', 'N2']","[{'meta': ['*>A\n', '*M3/4\n', '*E-:\n'], 'bars': [['.E-6'], ['.B-7'], ['.E-6'], ['.B-7'], ['.E-6'], ['.B-7'], ['.C:min7'], ['.B7'], ['.E-:maj7/B-'], ['.B-7/A-'], ['.E-6/G'], ['.A-6'], ['.E-6'], ['.C:min7'], ['.C#o7'], ['.B-7/D']]}, {'meta': ['*>B\n'], 'bars': [['.E-6'], ['.E-6'], ['.Gh7', '.C7b9'], ['.F:min7', '.B-7'], ['.E-6'], ['.C:min7'], ['.F:min7'], ['.B-7'], ['.E-6'], ['.E-6'], ['.A-:maj7#11'], ['.Ao7'], ['.E-6/B-'], ['.B-7']]}, {'meta': ['*>N1\n'], 'bars': [['.E-6'], ['.B-7']]}, {'meta': ['*>N2\n'], 'bars': [['.E-6/G'], ['.F:min7'], ['.E-6/B-'], ['.B-7'], ['.E-6'], ['.E-6']]}]"
666,Make Someone Happy,"Styne, Jule",1960,"['OTL: Make Someone Happy', 'COM: Styne, Jule', 'ODT: 1960']","['A', 'N1', 'A', 'N2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-6'], ['E-', 'E-+'], ['E-6'], ['B-:min7'], ['E-7'], ['B-:min7'], ['E-7'], ['A-', 'A-+'], ['A-6'], ['A-:min7(Fh7)'], ['D-7(B-7)']]}, {'meta': ['*>N1\n'], 'bars': [['E-:maj7'], ['G:min7', 'C7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-:maj7'], ['Ah7', 'D7#5'], ['G:min', 'G:min:maj7'], ['G:min7', 'C7'], ['F:min7'], ['B-7'], ['G:min7'], ['C7'], ['F:min7'], ['B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
667,What A Difference A Day Made,"Grever, Maria",1934,"['OTL: What A Difference A Day Made', 'COM: Grever, Maria', 'ODT: 1934']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['F:min7'], ['B-7'], ['E-:maj7', 'A-7'], ['G:min7', 'C7b9'], ['F:min7'], ['B-7'], ['E-:maj7', 'B-7'], ['E-:maj7'], ['Dh7'], ['G7b9'], ['C:min'], ['C:min'], ['C:min7', 'F7'], ['C:min7', 'F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>B\n'], 'bars': [['F:min7'], ['B-7'], ['E-:maj7', 'A-7'], ['G:min7', 'C7b9'], ['F:min7'], ['B-7'], ['E-7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['D-7'], ['E-:maj7'], ['G-o7'], ['F:min7'], ['B-7'], ['E-6'], ['G:min7', 'C7']]}]"
668,"End Of A Love Affair, The","Redding, Edward",1950,"['OTL: End Of A Love Affair, The', 'COM: Redding, Edward', 'ODT: 1950']","['A', 'A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['G:min7', 'C7'], ['F:maj7'], ['F:min7', 'B-7'], ['E-maj7'], ['E-:min7', 'A-7'], ['E-:min7', 'A-7'], ['D-:maj7', 'G:min7', 'C7'], ['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['D:min7', 'G7'], ['D:min7', 'G7'], ['D:min7', 'G7'], ['D:min7', 'G7'], ['C:maj7'], ['A:min7', 'D7'], ['D:min7', 'G7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7', 'C7'], ['F:maj7'], ['F:min7', 'B-7'], ['E-:maj7'], ['E-:min7', 'A-7'], ['E-:min7', 'A-7'], ['D-:maj7', 'G:min7', 'C7'], ['C:min7', 'F7']]}, {'meta': ['*>C\n'], 'bars': [['B-:maj7'], ['B-:min6', 'E-7'], ['F:maj7'], ['A-o7'], ['G:min7', 'F#o7'], ['G:min7', 'C7'], ['F6']]}]"
669,Smoke Gets In Your Eyes,"Kern, Jerome",1933,"['OTL: Smoke Gets In Your Eyes', 'COM: Kern, Jerome', 'ODT: 1933']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'G-o7'], ['F:min7', 'B-7'], ['B-:min7', 'E-7'], ['A-:maj7', 'Ao7'], ['G:min7', 'C:min7'], ['F:min7', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['G:min7', 'C7'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6'], ['D-:min7', 'G-7']]}, {'meta': ['*>B\n'], 'bars': [['B:maj7'], ['E7#11'], ['E-:min7', 'A-7'], ['D-:min7', 'G-7'], ['B:maj7'], ['F:min7', 'B-7'], ['E-:maj7', 'C7'], ['F:min7', 'B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'G-o7'], ['F:min7', 'B-7'], ['B-:min7', 'E-7'], ['A-:maj7', 'Ao7'], ['G:min7', 'C:min7'], ['F:min7', 'B-7'], ['E-6', 'C:min7'], ['F:min7', 'B-7']]}]"
670,Without A Song,"Youmans, Vincent",1929,"['OTL: Without A Song', 'COM: Youmans, Vincent', 'ODT: 1929']","['A', 'N1', 'A', 'N2', 'B', 'A', 'N3']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['E-7'], ['A-:maj7'], ['D-7'], ['E-:maj7'], ['E-7'], ['A-:maj7'], ['D-7'], ['E-:maj7'], ['G:min7', 'C7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-6'], ['F:min7', 'B-7'], ['G:min7', 'C7'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6'], ['A-7'], ['E-6'], ['E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7'], ['G:min7', 'C7'], ['F:min7', 'B-7'], ['E-:maj7'], ['G:min7'], ['Ah7', 'D7b9'], ['G:min7', '! D.C. al 3rd Ending', 'C7']]}, {'meta': ['*>N3\n'], 'bars': [['E-6'], ['C:min7'], ['F:min7'], ['B-7']]}]"
671,Glad To Be Unhappy,"Rodgers, Richard",1936,"['OTL: Glad To Be Unhappy', 'COM: Rodgers, Richard', 'LYR: Hart, Lorenz', 'ODT: 1936']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['G:min7'], ['E-:maj7'], ['C7'], ['C7'], ['G:min7'], ['E-7'], ['C7'], ['C7', 'F', 'F7']]}, {'meta': ['*>B\n'], 'bars': [['B-:maj7', 'Bo7'], ['F:maj7'], ['G:min7', 'C7'], ['F:maj7'], ['B-:maj7', 'Bo7'], ['F:maj7'], ['G:min7', 'C7'], ['F:maj7']]}, {'meta': ['*>C\n'], 'bars': [['G:min7'], ['E-:maj7'], ['C7'], ['C7'], ['F:maj7', 'D:min7'], ['G:min7', 'C7'], ['F:maj7'], ['F:maj7']]}]"
672,If You Never Come To Me,"Jobim, Antonio Carlos",1964,"['OTL: If You Never Come To Me', 'COM: Jobim, Antonio Carlos', 'ODT: 1964']",['/'],[]
673,Exactly Like You,"McHugh, Jimmy",1930,"['OTL: Exactly Like You', 'COM: McHugh, Jimmy', 'ODT: 1930']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C6'], ['C6'], ['D7'], ['D7'], ['G7'], ['G7']]}, {'meta': ['*>N1\n'], 'bars': [['C6'], ['D:min7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6'], ['C7']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7'], ['B-7'], ['C6'], ['A:min7'], ['D:min7'], ['F:min6', 'G7'], ['E:min7', 'E-o7'], ['D:min7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C6'], ['C6'], ['D7'], ['D7'], ['G7'], ['G7'], ['C6'], ['D:min7', 'G7']]}]"
674,There'll Be Some Changes Made,"Overstreet, Benton",1921,"[""OTL: There'll Be Some Changes Made"", 'COM: Overstreet, Benton', 'ODT: 1921']","['A', 'B', 'A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['G7'], ['G7'], ['C7'], ['C7'], ['D7'], ['G7'], ['C7'], ['C7', 'F7']]}, {'meta': ['*>B\n'], 'bars': [['G7'], ['G7'], ['C7'], ['C7'], ['D7'], ['G7'], ['C7', 'F7'], ['B-6', 'G7'], ['C7', 'F7'], ['B-6', '! Fine'], ['A7', 'A-7']]}]"
675,Nica's Dream,"Silver, Horace",1956,"[""OTL: Nica's Dream"", 'COM: Silver, Horace', 'ODT: 1956']","['A', 'ToCod', 'A', 'ToCod', 'B', 'A', 'ToCod', 'A', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*b-:\n'], 'bars': [['B-:min:maj7'], ['B-:min:maj7'], ['A-:min:maj7'], ['A-:min:maj7'], ['B-:min:maj7'], ['B-:min:maj7'], ['A-:min7'], ['D-7'], ['A-:min7'], ['D-7'], ['G-:maj7'], ['C7#9#5'], ['F7#5'], ['F7#5'], ['B-:min:maj7']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>B\n'], 'bars': [['A-7sus'], ['A-7sus'], ['Fh7'], ['B-7#5'], ['E-7'], ['A-7'], ['D-:maj7'], ['E:min7', 'A7'], ['A-7sus'], ['A-7sus'], ['Fh7'], ['B-7#5'], ['E-7'], ['A-7'], ['D-:maj7'], ['Ch7', 'F7b9', '! D.C. al Coda']]}, {'meta': ['*>Coda\n'], 'bars': [['B-:min:maj7'], ['A-:min:maj7'], ['G-7'], ['C7#9#5'], ['F7#5'], ['F7#5'], ['B-:min:maj7', 'r'], ['r']]}]"
676,Nice Work If You Can Get It,"Gershwin, George",1937,"['OTL: Nice Work If You Can Get It', 'COM: Gershwin, George', 'ODT: 1937']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['B7#5', 'E7'], ['A7#5', 'D7'], ['G7', 'C7'], ['A7', 'A#o7'], ['B:min7', 'E:min7'], ['A:min7', 'D7'], ['A:min7', 'D7sus']]}, {'meta': ['*>N1\n'], 'bars': [['G6', 'C7']]}, {'meta': ['*>N2\n'], 'bars': [['G6', 'B7#5']]}, {'meta': ['*>B\n'], 'bars': [['E:min7'], ['C7'], ['E:min7'], ['A7b13'], ['D:min'], ['Eh7', 'A7b9'], ['A:min7'], ['D7#5']]}, {'meta': ['*>A2\n'], 'bars': [['B7#5', 'E7'], ['A7#5', 'D7'], ['G7', 'C7'], ['A7', 'A#o7'], ['B:min7', 'E:min7'], ['A:min7', 'D7'], ['B7#5', 'E7'], ['A:min7', 'D7sus'], ['G6'], ['C7']]}]"
677,Freddie Freeloader,"Davis, Miles",1959,"['OTL: Freddie Freeloader', 'COM: Davis, Miles', 'ODT: 1959']","['A', 'N1', 'A', 'N2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-7'], ['B-7'], ['B-7'], ['B-7'], ['E-7'], ['E-7'], ['B-7'], ['B-7'], ['F7'], ['E-7']]}, {'meta': ['*>N1\n'], 'bars': [['A-7'], ['A-7']]}, {'meta': ['*>N2\n'], 'bars': [['B-7'], ['B-7']]}]"
678,Portrait Of Jennie,"Robinson, J.",1948,"['OTL: Portrait Of Jennie', 'COM: Robinson, J.', 'LYR: Burdge, Gordon', 'ODT: 1948']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['A-:min7', 'D-7'], ['G:min7', 'C:min7'], ['F:min7', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['G:min7', 'C:min7'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6'], ['A:min7', 'D7']]}, {'meta': ['*>B\n'], 'bars': [['G:maj7'], ['C:min7', 'F7'], ['B-:maj7'], ['Dh7', 'G7b9'], ['C:min7'], ['F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['A-:min7', 'D-7'], ['G:min7', 'C:min7'], ['F:min7', 'B-7'], ['F:min7', 'B-7b9'], ['E-6', 'F:min7', 'B-7']]}]"
679,It's Impossible,"Manzanero, Armando",1960,"[""OTL: It's Impossible"", 'COM: Manzanero, Armando', 'ODT: 1960', '(First English recording not until 1970).']","['A', 'N1', 'A', 'N2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G', 'G6'], ['G:maj7', 'G6'], ['F#h7'], ['B7'], ['E:min7'], ['D:min7', 'G7sus'], ['Bh7'], ['E7']]}, {'meta': ['*>N1\n'], 'bars': [['A:min7'], ['F9'], ['G:maj7'], ['E7'], ['A:min7'], ['A7'], ['D7'], ['A:min7', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['A:min7'], ['F9'], ['G:maj7'], ['E7'], ['A:min7'], ['D9'], ['G6'], ['A:min7', 'D7']]}]"
680,Dexterity,"Parker, Charlie",1947,"['OTL: Dexterity', 'COM: Parker, Charlie', 'ODT: 1947']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-:maj7', 'G7'], ['C:min7', 'F7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['F:min7', 'B-7'], ['E-:maj7', 'A-7']]}, {'meta': ['*>N1\n'], 'bars': [['D:min7', 'G7'], ['C:min7', 'F7']]}, {'meta': ['*>N2\n'], 'bars': [['C:min7', 'F7'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['D7'], ['D7'], ['G7'], ['G7'], ['C7'], ['C7'], ['F7'], ['F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-:maj7', 'G7'], ['C:min7', 'F7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['F:min7', 'B-7'], ['E-:maj7', 'A-7'], ['C:min7', 'F7'], ['B-6']]}]"
681,I Ain't Got Nobody," Graham, Roger",1915,"[""OTL: I Ain't Got Nobody"", 'COM1: Williams, Spencer', 'COM2: Graham, Roger', 'ODT: 1915']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G7'], ['G7', 'F#7', 'F7', 'E7'], ['A7'], ['A7']]}, {'meta': ['*>N1\n'], 'bars': [['.G', 'G:min7'], ['A7', 'D7'], ['G', 'C'], ['G', 'Do', 'D', 'D+']]}, {'meta': ['*>N2\n'], 'bars': [['A7'], ['A7'], ['D', 'G:min', 'G#o'], ['D7']]}, {'meta': ['*>B\n'], 'bars': [['G7'], ['G7'], ['C'], ['C'], ['E7'], ['E7'], ['.A7', 'C#o'], ['.D7', 'D+']]}, {'meta': ['*>A2\n'], 'bars': [['G7'], ['G7', 'F#7', 'F7', 'E7'], ['A7'], ['A7'], ['.G', 'G:min'], ['A7', 'D7'], ['G'], ['C7', 'G']]}]"
682,Midnight At The Oasis,"Nichtern, David",1974,"['OTL: Midnight At The Oasis', 'COM: Nichtern, David', 'ODT: 1974']","['Intro', 'Sign', 'A', 'ToCod', 'Sign', 'A', 'ToCod', 'B', 'Sign', 'A', 'Coda']","[{'meta': ['*>Intro\n', '*M4/4\n', '*E-:\n'], 'bars': [['E/F#', 'A/B', 'B/C#'], ['G-/A-', 'A-/B-']]}, {'meta': ['*>Sign\n'], 'bars': []}, {'meta': ['*>A\n'], 'bars': [['E-:maj7'], ['A-:maj7', 'D-9'], ['E-:maj7'], ['A-:maj7', 'D-9'], ['E-:maj7'], ['A-:maj7', 'D-9'], ['G-:maj7', 'B9']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>B\n'], 'bars': [['E', 'F#'], ['A/B', 'B/C#'], ['E', 'F#'], ['A/B', 'B/C#'], ['E', 'F#'], ['A/B', 'B/C#'], ['G-/A-', 'A-/B-', '! D.S. al Coda']]}, {'meta': ['*>Coda\n', '*M2/4\n'], 'bars': [['A-/B-'], ['M4/4', '! Vamp  and Fade', 'A-', 'A-o'], ['E-:maj7', 'E-7']]}]"
683,Zing Went The Strings Of My Heart,"Hanley, James",1934,"['OTL: Zing Went The Strings Of My Heart', 'COM: Hanley, James', 'ODT: 1934']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['E-:maj7'], ['C:min7'], ['C:min7'], ['F:min7'], ['F:min7'], ['B-7'], ['B-7'], ['A-:maj7'], ['A-:maj7'], ['A-:min7'], ['A-:min7']]}, {'meta': ['*>N1\n'], 'bars': [['C:min7'], ['F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N2\n'], 'bars': [['C:min7'], ['F7', 'B-7'], ['E-:maj7'], ['E-:maj7']]}, {'meta': ['*>B\n'], 'bars': [['F:min7', 'B-7'], ['E-:maj7'], ['F:min7', 'B-7'], ['E-:maj7'], ['D7'], ['G:min7', 'F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7'], ['E-:maj7'], ['C:min7'], ['C:min7'], ['F:min7'], ['F:min7'], ['B-7'], ['B-7'], ['A-:maj7'], ['A-:maj7'], ['A-:min7'], ['A-:min7'], ['C:min7'], ['F7', 'B-7'], ['E-:maj7'], ['E-:maj7']]}]"
684,I Got The Sun In The Morning,"Berlin, Irving",1946,"['OTL: I Got The Sun In The Morning', 'COM: Berlin, Irving', 'ODT: 1946']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['C7b5/G-', 'F6'], ['C7b5/G-', 'F6'], ['C7b5/G-', 'F6'], ['F6', 'F7'], ['B-:maj7', 'E-9'], ['G:min7', 'F6'], ['G:min7', 'F6'], ['G:min7', 'F6']]}, {'meta': ['*>B\n'], 'bars': [['E:min7'], ['A7'], ['A:min9'], ['D13'], ['D:min11'], ['G7'], ['G:min9'], ['C13']]}, {'meta': ['*>A2\n'], 'bars': [['C7b5/G-', 'F6'], ['C7b5/G-', 'F6'], ['C7b5/G-', 'F6'], ['F6', 'F7'], ['B-:maj7', 'E-9'], ['G:min7', 'F6'], ['G:min7', 'F6'], ['G:min7', 'F6'], ['B-:maj7', 'A7b9#5'], ['A-o7', 'G:min7'], ['G:min7', 'C7b9'], ['F6', 'G:min7', 'C7']]}]"
685,I Only Have Eyes For You,"Warren, Harry",1934,"['OTL: I Only Have Eyes For You', 'COM: Warren, Harry', 'ODT: 1934']","['A', 'N1', 'A', 'N2', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['D:min7'], ['G7'], ['D:min7'], ['G7'], ['C:maj7']]}, {'meta': ['*>N1\n'], 'bars': [['C:maj7', 'F7'], ['E:min7'], ['E-:min7', 'A-7']]}, {'meta': ['*>N2\n'], 'bars': [['C:maj7', 'E7#5'], ['A7'], ['A7']]}, {'meta': ['*>B\n'], 'bars': [['D:min7'], ['G7', 'G7/F'], ['E:min7'], ['A7'], ['Dh7'], ['G7'], ['E:min7'], ['E-:min7', 'A-7']]}, {'meta': ['*>C\n'], 'bars': [['D:min7'], ['G7'], ['D:min7'], ['G7'], ['C:maj7'], ['F7'], ['B-7#11'], ['A7b9'], ['D:min7'], ['G7'], ['C6'], ['E:min7', 'A7b9']]}]"
686,My Funny Valentine,"Rodgers, Richard",1937,"['OTL: My Funny Valentine', 'COM: Rodgers, Richard', 'ODT: 1937']","['A', 'A2', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['C:min6'], ['Dh7(C:min:maj7/B)', 'G7b9'], ['C:min7(C:min7/B-)'], ['F7(C:min6/A)'], ['A-:maj7'], ['F:min7'], ['Dh7'], ['G7b9']]}, {'meta': ['*>A2\n'], 'bars': [['C:min6'], ['Dh7(C:min:maj7/B)', 'G7b9'], ['C:min7(C:min7/B-)'], ['F7(C:min6/A)'], ['A-:maj7'], ['F:min7'], ['Fh7(B7)'], ['B-7']]}, {'meta': ['*>B\n'], 'bars': [['E-:maj7', 'F:min7'], ['G:min7', 'F:min7'], ['E-:maj7', 'F:min7'], ['G:min7', 'F:min7'], ['E-:maj7', 'G7b9'], ['C:min7', 'B7', 'B-:min7', 'A7'], ['A-:maj7'], ['Dh7', 'G7b9']]}, {'meta': ['*>C\n'], 'bars': [['C:min6'], ['Dh7(C:min:maj7/B)', 'G7b9'], ['C:min7(C:min7/B-)'], ['F7(C:min6/A)'], ['A-:maj7'], ['Dh7', 'G7b9'], ['C:min7', 'B7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['F:min7', 'B-7'], ['E-6'], ['Dh7', 'G7b9']]}]"
687,"Taste Of Honey, A"," Marlow, Ric",1960,"['OTL: Taste Of Honey, A', 'COM: Scott, Bobby', 'COM2: Marlow, Ric', 'ODT: 1960']","['A', 'B']","[{'meta': ['*>A\n', '*M3/4\n', '*d:\n'], 'bars': [['.D:min'], ['.D:min:maj7'], ['.D:min7'], ['.G7'], ['.D:min'], ['.D:min:maj7'], ['.D:min7'], ['.G7'], ['.D:min'], ['.D:min'], ['.B-:maj7'], ['.A:min7'], ['.D:min'], ['.D:min']]}, {'meta': ['*>B\n'], 'bars': [['.D:min7'], ['.G7'], ['.D:min7'], ['.G7'], ['.B-:maj7'], ['.A:min7'], ['.D:min'], ['.Eh7', '.A7b9']]}]"
688,My Shining Hour,"Arlen, Harold",1943,"['OTL: My Shining Hour', 'COM: Arlen, Harold', 'ODT: 1943']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7'], ['A:min7'], ['D:min7'], ['G7'], ['C:maj7'], ['A:min7'], ['Bh7'], ['E7b9'], ['A:min'], ['A:min'], ['Bh7'], ['E7b9'], ['A:min7'], ['D7'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['C7'], ['F:maj7'], ['F:maj7'], ['F:min7'], ['B-7'], ['C6/E', 'E-o7'], ['D:min7', 'G7'], ['C:maj7'], ['C:maj7'], ['C:maj7', 'D:min7'], ['E:min7', 'E-o7'], ['D:min7'], ['G7'], ['C6'], ['D:min7', 'G7']]}]"
689,Passion Flower,"Strayhorn, Billy",1944,"['OTL: Passion Flower', 'COM: Strayhorn, Billy', 'ODT: 1944']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['F#7#11'], ['F#7#11'], ['F#7#11'], ['F#7#11'], ['E7b13', 'E-13'], ['D9'], ['G:maj7'], ['G:maj7']]}, {'meta': ['*>B\n'], 'bars': [['D-:maj7'], ['C7#11'], ['B7#11'], ['B-7#5'], ['A7#5'], ['A-9'], ['D-:maj7'], ['B-7', 'E-7', 'A-7', 'D-7']]}, {'meta': ['*>A2\n'], 'bars': [['F#7#11'], ['F#7#11'], ['F#7#11'], ['F#7#11'], ['E7b13', 'E-13'], ['D9'], ['G:maj7'], ['G:maj7']]}]"
690,Strayhorn 2,"Mulligan, Gerry",1977,"['OTL: Strayhorn 2', 'COM: Mulligan, Gerry', 'ODT: 1977']",['/'],[]
691,I Hear Music,"Lane, Burton",1940,"['OTL: I Hear Music', 'COM: Lane, Burton', 'ODT: 1940']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['Ah7', 'D7#5'], ['G9', 'C7'], ['G9', 'C7'], ['G9', 'C7'], ['F7', 'B-6'], ['F7', 'B-6'], ['C7', 'F'], ['C7', 'F']]}, {'meta': ['*>B\n'], 'bars': [['C:min7', 'F7'], ['C:min7', 'F7'], ['B-:maj7'], ['B-:maj7'], ['B-:min7', 'E-7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['Ah7', 'D7#5'], ['G9', 'C7'], ['G9', 'C7'], ['G9', 'C7'], ['F7', 'B-6'], ['F7', 'B-6'], ['C7', 'F'], ['G:min7', 'C7'], ['F:maj7'], ['G:min7', 'C7']]}]"
